from_state,to_state,probability
S_A_REC,P_M_REC,0.001866
S_A_REC,S_D_PAS,0.001866
S_A_REC,S_M_PAS,0.001866
S_A_REC,S_M_PER,0.001866
S_A_PAS,P_D_PER,0.001856
P_M_REC,P_A_PAS,0.001828
P_M_REC,P_D_PAS,0.001828
P_M_REC,S_D_PER,0.001828
P_D_REC,S_M_PER,0.001812
P_A_REC,P_D_REC,0.001799
P_A_REC,S_M_REC,0.001799
P_D_PAS,S_A_PER,0.001743
P_D_PAS,S_A_REC,0.001743
S_D_PAS,P_A_REC,0.001681
S_M_PAS,S_A_FIN,0.001627
P_M_PAS,P_M_REC,0.001596
P_A_PER,P_A_FIN,0.001580
P_M_PAS,S_D_PAS,0.001408
S_D_PAS,P_M_PAS,0.001401
S_A_PER,S_D_REC,0.001391
P_M_PER,S_A_PER,0.001391
P_M_PAS,S_D_REC,0.001314
P_D_PAS,S_M_REC,0.001090
S_M_PAS,P_D_PAS,0.001064
P_A_PER,P_D_PAS,0.001053
S_D_PAS,P_A_PER,0.000981
S_M_REC,P_A_PER,0.000976
S_M_REC,P_D_PER,0.000976
S_M_REC,S_A_PER,0.000976
S_A_PER,S_D_PAS,0.000928
P_M_REC,P_A_PER,0.000914
P_M_REC,S_A_PAS,0.000914
P_M_REC,S_A_PER,0.000914
P_M_REC,S_A_REC,0.000914
P_D_REC,P_M_PER,0.000906
P_A_PAS,S_D_PER,0.000889
P_D_PAS,P_A_FIN,0.000872
S_M_PER,S_D_PER,0.000871
P_M_PAS,S_M_PER,0.000845
P_M_PAS,P_A_REC,0.000751
S_D_PAS,S_D_REC,0.000701
S_M_PAS,S_M_REC,0.000688
P_D_PAS,S_M_PER,0.000654
S_D_PAS,P_M_REC,0.000560
P_A_PAS,P_M_REC,0.000533
S_A_PAS,S_M_REC,0.000530
P_A_PER,P_D_REC,0.000527
S_M_PAS,P_M_PER,0.000501
P_M_PER,P_D_PER,0.000464
S_M_PAS,P_D_REC,0.000438
S_M_PAS,S_A_REC,0.000438
P_D_PAS,P_D_REC,0.000436
P_M_PAS,S_D_PER,0.000376
S_D_PAS,P_M_PER,0.000280
S_A_PAS,P_M_PAS,0.000265
P_D_PAS,P_M_REC,0.000218
P_D_PAS,S_A_FIN,0.000218
S_M_PAS,P_D_PER,0.000188
P_A_PAS,P_D_PAS,0.000178
P_A_PAS,P_D_PER,0.000178
P_A_PAS,S_M_REC,0.000178
S_D_PAS,P_D_REC,0.000140
S_D_PAS,S_A_FIN,0.000140
S_D_PAS,S_M_FIN,0.000140
S_D_PAS,S_M_REC,0.000140
S_A_PAS,P_M_PER,0.000133
S_A_PAS,P_M_REC,0.000133
S_A_PAS,S_M_FIN,0.000133
S_M_PAS,S_D_REC,0.000125
P_M_PAS,P_D_REC,0.000094
P_M_PAS,S_A_PAS,0.000094
P_M_PAS,S_A_PER,0.000094
P_M_PAS,S_A_REC,0.000094
S_M_PAS,P_A_PAS,0.000063
S_M_PAS,P_A_REC,0.000063
