from_state,to_state,count
P_D_PAS_DES,P_M_PAS_FAV,90
P_A_PAS_DES,P_D_REC_DES,89
P_M_PAS_FAV,P_D_REC_DES,89
P_A_PER_DES,P_D_PER_NEU,88
P_M_PER_NEU,P_M_PAS_FAV,87
P_A_PER_NEU,P_D_PER_DES,86
P_M_PER_FAV,P_D_PAS_NEU,86
P_M_PER_NEU,P_D_PER_DES,86
P_D_PAS_DES,P_D_PAS_FAV,84
P_A_REC_DES,P_M_REC_DES,83
P_D_PER_NEU,P_D_PAS_NEU,83
P_M_PER_DES,P_A_FIN_DES,83
P_A_PAS_DES,P_M_REC_DES,82
P_A_PER_NEU,P_M_PAS_FAV,82
P_M_PER_NEU,P_M_PER_NEU,82
P_D_PER_FAV,P_A_PER_DES,81
P_M_PER_DES,P_D_PER_NEU,81
P_A_FIN_NEU,P_A_REC_NEU,80
P_A_FIN_NEU,P_D_PAS_DES,80
P_A_PAS_FAV,P_D_PAS_DES,79
P_M_PAS_FAV,P_M_REC_FAV,79
P_A_FIN_DES,P_M_PAS_NEU,78
P_A_PER_NEU,P_D_PAS_FAV,77
P_M_PAS_FAV,P_D_PER_DES,77
P_M_PER_NEU,P_A_REC_NEU,77
P_M_REC_FAV,P_A_PER_FAV,76
P_D_PER_NEU,P_M_PER_NEU,75
P_A_PAS_NEU,P_M_PER_NEU,74
P_D_PER_FAV,P_M_REC_DES,74
P_D_REC_NEU,P_M_PAS_NEU,74
P_A_FIN_FAV,P_A_PER_FAV,73
P_M_PER_NEU,P_D_REC_NEU,73
P_A_FIN_DES,P_A_PER_FAV,71
P_A_FIN_DES,P_D_PAS_NEU,71
P_D_PAS_DES,P_A_FIN_DES,71
P_A_FIN_FAV,P_A_PER_DES,70
P_A_PAS_FAV,P_M_PAS_DES,70
P_M_REC_DES,P_D_REC_DES,70
P_A_FIN_FAV,P_D_REC_FAV,69
P_A_PAS_DES,P_M_PAS_FAV,69
P_D_PAS_NEU,P_A_PAS_NEU,69
P_M_PAS_DES,P_A_PAS_FAV,69
P_M_PAS_DES,P_D_REC_FAV,69
P_D_PAS_NEU,P_A_PER_NEU,68
P_D_PER_DES,P_A_PAS_NEU,67
P_M_PER_NEU,P_M_REC_DES,67
P_A_PAS_DES,P_D_PAS_FAV,66
P_A_PER_DES,P_A_PER_NEU,66
P_D_PER_NEU,P_D_REC_NEU,66
P_M_PER_DES,P_M_REC_NEU,66
P_A_PER_DES,P_M_REC_NEU,65
P_A_PER_NEU,P_M_REC_DES,65
P_D_REC_DES,P_D_REC_DES,64
P_A_FIN_DES,P_M_REC_FAV,62
P_A_PAS_FAV,P_A_REC_FAV,62
P_M_PER_DES,P_A_PER_NEU,62
P_M_PER_NEU,P_A_PAS_NEU,62
P_A_PER_NEU,P_D_PAS_NEU,61
P_M_PAS_DES,P_D_PER_FAV,61
P_A_PER_NEU,P_D_REC_NEU,60
P_D_PER_DES,P_D_REC_NEU,60
P_D_PER_FAV,P_M_PER_DES,60
P_M_REC_NEU,P_A_PAS_NEU,60
P_D_PER_NEU,P_A_PAS_DES,58
P_A_FIN_DES,P_A_FIN_DES,56
P_A_FIN_FAV,P_D_PER_FAV,56
P_A_FIN_FAV,P_M_PER_DES,56
