from_state,to_state,probability
P_D_PER_NEU,S_M_PER_DES,0.049327
S_A_PAS_DES,P_D_PAS_FAV,0.049180
S_M_PER_FAV,P_M_PAS_DES,0.048655
S_M_PER_DES,P_D_PAS_DES,0.048345
S_M_REC_NEU,P_M_PAS_NEU,0.047847
S_M_REC_NEU,P_M_REC_DES,0.047847
S_M_REC_DES,P_M_PAS_DES,0.047619
S_D_PER_NEU,P_M_REC_DES,0.046802
P_D_PER_NEU,P_D_PAS_NEU,0.046637
P_A_PER_FAV,P_M_PAS_FAV,0.046526
S_D_REC_FAV,P_A_REC_FAV,0.046346
S_M_REC_FAV,P_M_PER_FAV,0.045956
P_A_PER_FAV,S_D_PER_FAV,0.045956
S_D_REC_DES,S_M_PER_DES,0.045772
P_A_PER_NEU,P_M_PAS_NEU,0.045725
S_A_FIN_DES,P_D_PAS_NEU,0.045455
S_A_FIN_DES,P_D_PER_FAV,0.045455
S_A_FIN_DES,P_M_PAS_DES,0.045455
S_A_FIN_DES,S_M_PER_DES,0.045455
S_D_PER_NEU,P_A_REC_DES,0.045242
P_A_FIN_NEU,P_D_PAS_NEU,0.045061
P_A_FIN_NEU,P_M_PAS_DES,0.045061
S_D_REC_FAV,S_M_PER_FAV,0.045009
P_D_PER_FAV,P_A_PAS_FAV,0.044970
S_D_PER_FAV,P_M_PAS_DES,0.043890
P_M_PER_FAV,S_M_REC_FAV,0.043883
S_D_PER_DES,P_A_REC_DES,0.043756
P_M_PER_NEU,S_M_PER_FAV,0.043500
P_M_PER_FAV,P_A_PAS_FAV,0.043484
P_A_PER_DES,P_D_REC_DES,0.043268
P_M_PER_DES,P_M_REC_FAV,0.043143
S_M_REC_NEU,P_M_PAS_DES,0.043062
P_M_PER_NEU,P_M_PAS_DES,0.043000
S_A_PER_FAV,P_D_REC_DES,0.042975
P_A_REC_NEU,P_M_PAS_NEU,0.042969
P_M_PER_NEU,P_A_PAS_NEU,0.042500
P_D_PER_NEU,P_M_REC_NEU,0.042152
S_D_PER_NEU,P_M_PER_FAV,0.042122
P_A_FIN_DES,P_M_PAS_FAV,0.042066
S_D_REC_DES,P_A_REC_FAV,0.041893
P_A_REC_FAV,P_M_PAS_FAV,0.041854
P_M_PER_DES,P_A_PAS_DES,0.041809
S_A_PER_FAV,P_M_REC_FAV,0.041322
P_M_PER_NEU,P_D_REC_FAV,0.041000
S_D_PER_NEU,P_A_PAS_DES,0.040562
P_D_PER_FAV,P_D_REC_FAV,0.040270
P_A_PER_NEU,P_D_PAS_NEU,0.039781
S_M_PER_DES,P_D_REC_FAV,0.039634
S_M_PER_NEU,P_D_PAS_DES,0.039492
P_A_FIN_FAV,P_D_PAS_DES,0.039258
P_D_PER_FAV,P_M_PER_FAV,0.039094
P_A_PER_DES,S_D_REC_DES,0.038954
P_A_PER_NEU,P_D_PAS_DES,0.038866
S_M_PER_FAV,P_M_REC_DES,0.038789
P_D_PER_NEU,S_M_PER_NEU,0.038565
S_D_REC_FAV,P_A_PAS_FAV,0.038547
S_M_REC_NEU,P_M_REC_FAV,0.038278
S_M_REC_NEU,P_M_REC_NEU,0.038278
S_A_REC_FAV,P_D_REC_DES,0.038217
S_A_REC_DES,P_D_REC_DES,0.038095
S_A_REC_DES,P_D_REC_NEU,0.038095
P_M_PER_FAV,P_M_PER_FAV,0.038082
P_A_PER_DES,P_M_PAS_DES,0.037908
S_M_REC_FAV,S_A_PER_FAV,0.037684
P_M_PER_DES,P_D_REC_FAV,0.037509
S_M_REC_DES,S_A_PER_DES,0.037202
P_A_PER_NEU,P_D_PER_FAV,0.037037
P_D_PER_NEU,P_D_REC_NEU,0.036771
P_M_PER_NEU,P_D_PAS_NEU,0.036500
P_M_PER_FAV,S_D_PER_FAV,0.036266
S_D_PAS_NEU,S_A_PER_NEU,0.035857
P_M_PER_DES,S_M_PER_FAV,0.035582
P_M_PER_NEU,P_D_PAS_DES,0.035500
P_M_PER_NEU,P_M_REC_FAV,0.035500
S_D_PER_FAV,P_A_PER_FAV,0.035352
P_A_PER_DES,P_D_PER_FAV,0.035163
P_A_FIN_FAV,P_D_PER_DES,0.035033
S_A_PER_DES,P_D_REC_NEU,0.034884
S_A_PER_NEU,P_D_PER_FAV,0.034483
S_A_PER_NEU,P_D_REC_DES,0.034483
S_A_PER_NEU,P_M_REC_DES,0.034483
S_A_PER_NEU,P_M_REC_FAV,0.034483
P_M_REC_NEU,P_A_PER_NEU,0.034105
S_M_PER_NEU,P_D_REC_FAV,0.033850
