from_state,to_state,probability
S_A_REC,S_M_FIN,0.002217
P_M_PER,S_A_PER,0.002075
P_D_REC,P_A_PER,0.002075
P_A_PAS,P_D_REC,0.002071
P_M_REC,S_M_PAS,0.002056
P_A_PAS,S_D_PER,0.002024
P_D_REC,S_A_PER,0.001971
S_D_REC,P_A_FIN,0.001962
P_A_PAS,S_D_REC,0.001931
P_M_PAS,P_M_REC,0.001909
P_D_PAS,P_A_FIN,0.001861
P_A_PER,P_A_FIN,0.001798
P_A_PAS,P_D_PER,0.001775
P_D_REC,P_M_REC,0.001763
S_D_PER,S_D_PAS,0.001646
S_M_REC,S_A_REC,0.001636
S_M_PER,S_D_PER,0.001538
S_D_PAS,P_D_REC,0.001535
P_M_REC,S_D_PER,0.001503
P_M_REC,S_D_REC,0.001503
S_M_PER,P_A_FIN,0.001442
S_M_PER,S_A_REC,0.001442
S_M_PAS,S_M_PAS,0.001424
P_M_REC,P_A_REC,0.001424
S_M_REC,S_M_FIN,0.001308
P_D_PAS,P_M_REC,0.001230
P_D_PER,P_A_FIN,0.001130
P_A_REC,S_M_REC,0.000996
S_M_REC,S_D_REC,0.000981
S_D_REC,S_A_PAS,0.000981
S_D_PER,S_M_PAS,0.000968
P_D_REC,S_A_REC,0.000934
P_M_PAS,P_D_REC,0.000931
P_A_PAS,S_D_PAS,0.000919
P_M_PER,P_A_FIN,0.000894
P_A_REC,S_M_PER,0.000885
S_D_PAS,S_D_PAS,0.000877
P_M_PAS,P_A_REC,0.000858
P_D_REC,P_A_REC,0.000830
S_M_PER,S_A_PER,0.000769
P_A_FIN,S_M_PAS,0.000715
S_M_PAS,P_A_PAS,0.000712
S_M_PAS,S_A_PAS,0.000712
P_D_PAS,P_D_REC,0.000681
P_M_PAS,S_D_REC,0.000665
S_D_PAS,S_D_REC,0.000658
P_M_PER,S_A_PAS,0.000638
P_M_PAS,S_M_REC,0.000625
S_A_PER,P_A_FIN,0.000609
P_M_PAS,S_D_PER,0.000565
P_D_PER,S_A_FIN,0.000565
P_D_REC,S_M_PER,0.000519
P_A_PAS,P_M_REC,0.000514
P_M_PAS,S_M_PER,0.000512
S_D_REC,S_A_FIN,0.000491
S_M_PER,S_D_REC,0.000481
P_M_REC,S_D_PAS,0.000475
P_D_PAS,P_A_REC,0.000465
P_M_PAS,S_D_PAS,0.000452
S_D_PAS,S_M_PAS,0.000439
P_A_FIN,S_M_PER,0.000409
P_M_REC,P_M_FIN,0.000395
S_M_PAS,P_A_REC,0.000356
S_M_PAS,S_A_REC,0.000356
S_M_PAS,S_D_PAS,0.000356
S_M_PAS,S_M_REC,0.000356
P_D_PAS,S_M_REC,0.000332
S_D_REC,S_M_REC,0.000327
P_D_REC,P_A_FIN,0.000311
P_D_REC,S_A_PAS,0.000311
P_D_REC,S_D_PER,0.000311
P_D_PAS,S_A_REC,0.000299
S_D_PER,S_A_PER,0.000290
P_M_PER,S_A_FIN,0.000287
P_D_PAS,S_A_PER,0.000283
P_D_PAS,S_M_PER,0.000283
P_A_PER,S_A_PER,0.000277
P_M_PAS,S_M_PAS,0.000246
P_A_REC,S_M_PAS,0.000221
S_D_PAS,P_A_FIN,0.000219
S_D_PAS,S_A_REC,0.000219
S_D_PAS,S_M_REC,0.000219
P_D_REC,S_M_PAS,0.000207
S_D_PER,S_A_REC,0.000194
P_A_PAS,S_M_PER,0.000187
P_D_PAS,S_M_PAS,0.000183
P_M_REC,S_A_REC,0.000158
P_A_PER,S_A_REC,0.000138
P_D_PAS,S_D_REC,0.000133
P_D_PAS,P_M_FIN,0.000116
P_D_PAS,S_A_PAS,0.000116
P_D_REC,P_M_FIN,0.000104
P_D_REC,S_D_PAS,0.000104
P_D_REC,S_D_REC,0.000104
P_D_REC,S_M_REC,0.000104
S_D_PER,S_A_PAS,0.000097
S_M_PER,P_M_FIN,0.000096
S_M_PER,S_D_PAS,0.000096
P_A_PAS,S_M_REC,0.000093
P_A_PER,S_A_PAS,0.000083
P_M_REC,S_A_PAS,0.000079
P_M_REC,S_A_PER,0.000079
P_M_PAS,P_M_FIN,0.000067
P_D_PAS,S_D_PAS,0.000066
P_D_PAS,S_D_PER,0.000066
P_A_PAS,S_M_PAS,0.000047
P_M_PAS,S_A_REC,0.000033
P_M_PER,P_M_FIN,0.000032
P_M_PER,S_D_FIN,0.000032
P_M_PER,S_M_FIN,0.000032
P_A_PER,S_A_FIN,0.000028
P_M_PAS,S_A_PER,0.000027
P_D_PAS,S_A_FIN,0.000017
P_A_PAS,P_M_FIN,0.000016
P_A_PAS,S_A_PER,0.000016
