from_id,to_id,kind,cause,is_restart,count
43,97,flip,ball_recovery,False,578
49,100,flip,pressure_loss,False,573
5,38,intra,,False,572
35,97,flip,pressure_loss,False,562
91,91,intra,,False,557
15,22,flip,restart_goal_kick,True,556
39,91,flip,other,False,554
46,44,intra,,False,554
84,33,flip,clearance_conceded,False,550
5,15,intra,,False,546
80,44,flip,other,False,546
63,56,intra,,False,543
84,49,flip,ball_recovery,False,543
40,80,flip,pressure_loss,False,541
50,86,flip,other,False,539
33,86,flip,bad_pass,False,538
32,22,flip,restart_goal_kick,True,534
16,86,flip,other,False,534
80,10,flip,other,False,527
86,85,intra,,False,526
9,62,flip,ball_recovery,False,524
32,21,flip,other,False,524
84,15,flip,ball_recovery,False,522
22,15,intra,,False,521
102,44,flip,other,False,509
77,81,intra,,False,506
80,79,intra,,False,503
39,4,intra,,False,501
12,86,flip,pressure_loss,False,500
102,50,flip,pressure_loss,False,499
84,84,intra,,False,498
86,32,flip,foul_won,False,494
46,101,flip,pressure_loss,False,492
6,5,intra,,False,488
6,80,flip,pressure_loss,False,488
52,52,intra,,False,486
15,66,flip,pressure_loss,False,478
98,91,intra,,False,478
44,80,flip,other,False,472
12,67,flip,pressure_loss,False,471
18,80,flip,pressure_loss,False,470
32,86,flip,dispossessed,False,469
68,10,flip,other,False,467
86,32,flip,pressure_loss,False,464
40,96,flip,pressure_loss,False,460
10,80,flip,other,False,460
12,33,intra,,False,460
102,5,intra,,False,458
26,26,flip,ball_recovery,False,458
87,62,intra,,False,457
12,17,intra,,False,456
102,49,flip,tackle,False,453
43,98,flip,pressure_loss,False,452
40,39,intra,,False,448
6,61,flip,pressure_loss,False,445
32,22,flip,restart_free_kick,True,442
77,26,flip,pressure_loss,False,441
46,33,intra,,False,438
32,86,flip,foul_won,False,435
18,44,intra,,False,431
56,4,flip,foul_won,False,427
46,86,flip,pressure_loss,False,426
97,27,flip,other,False,426
9,60,flip,pressure_loss,False,424
68,14,flip,other,False,423
62,27,flip,other,False,423
87,97,intra,,False,418
84,50,flip,restart_corner,True,417
4,4,intra,,False,416
102,48,flip,other,False,415
97,43,flip,tackle,False,414
32,102,flip,other,False,411
21,21,intra,,False,410
4,56,flip,other,False,408
86,21,intra,,False,408
62,9,flip,tackle,False,405
18,10,intra,,False,405
84,27,flip,clearance_conceded,False,404
27,86,flip,other,False,404
29,50,intra,,False,403
68,16,flip,pressure_loss,False,402
12,14,intra,,False,401
49,102,flip,tackle,False,397
84,16,flip,restart_corner,True,394
56,4,flip,ball_recovery,False,388
22,74,flip,other,False,387
29,16,intra,,False,386
62,5,flip,other,False,385
23,97,flip,pressure_loss,False,385
38,38,intra,,False,383
27,80,flip,bad_pass,False,383
26,78,flip,pressure_loss,False,382
23,62,flip,pressure_loss,False,380
22,80,flip,other,False,378
97,98,intra,,False,378
86,16,flip,other,False,376
86,49,flip,ball_recovery,False,375
91,38,flip,foul_won,False,375
84,50,flip,restart_throw_in,True,373
68,15,flip,tackle,False,372
74,21,flip,ball_recovery,False,372
56,53,intra,,False,371
74,74,intra,,False,369
102,103,intra,,False,369
9,63,flip,pressure_loss,False,368
81,97,intra,,False,367
26,80,flip,ball_recovery,False,366
86,49,flip,other,False,365
102,49,flip,pressure_loss,False,365
15,68,flip,tackle,False,364
68,39,intra,,False,364
27,62,flip,other,False,364
43,95,flip,other,False,363
46,48,intra,,False,363
87,102,intra,,False,360
32,68,flip,other,False,359
50,102,flip,pressure_loss,False,357
86,50,flip,other,False,356
98,80,intra,,False,355
12,34,intra,,False,354
91,88,intra,,False,353
5,43,intra,,False,353
63,80,intra,,False,349
86,52,intra,,False,348
84,16,flip,restart_throw_in,True,348
38,91,flip,other,False,347
97,10,intra,,False,346
68,69,intra,,False,346
86,15,flip,other,False,346
68,86,intra,,False,344
98,43,flip,bad_pass,False,344
43,97,flip,pressure_loss,False,342
26,80,flip,dispossessed,False,339
27,97,flip,other,False,339
52,22,intra,,False,339
46,51,intra,,False,339
97,39,flip,other,False,339
87,68,intra,,False,336
84,26,flip,ball_recovery,False,336
9,62,flip,pressure_loss,False,336
56,5,flip,restart_throw_in,True,332
81,62,intra,,False,332
22,97,flip,other,False,329
8,62,flip,pressure_loss,False,328
91,38,flip,ball_recovery,False,327
62,63,intra,,False,326
5,56,flip,bad_pass,False,324
62,44,intra,,False,324
84,102,intra,,False,323
42,97,flip,pressure_loss,False,323
94,97,intra,,False,323
49,102,flip,foul_won,False,323
16,68,flip,pressure_loss,False,322
26,81,flip,pressure_loss,False,321
86,15,flip,ball_recovery,False,321
102,43,flip,other,False,321
68,15,flip,pressure_loss,False,320
33,9,intra,,False,320
91,39,flip,restart_throw_in,True,319
55,3,flip,other,False,318
62,9,flip,pressure_loss,False,314
86,32,flip,tackle,False,314
97,43,flip,interception,False,311
27,80,flip,pressure_loss,False,309
23,22,intra,,False,309
63,9,flip,bad_pass,False,308
81,26,flip,bad_pass,False,306
39,91,flip,bad_pass,False,305
97,43,flip,pressure_loss,False,305
97,50,flip,other,False,305
84,68,intra,,False,304
33,43,intra,,False,303
9,62,flip,tackle,False,303
3,1,intra,,False,303
26,80,flip,interception,False,300
80,26,flip,tackle,False,299
21,27,intra,,False,298
32,86,flip,tackle,False,297
23,79,flip,pressure_loss,False,297
4,10,intra,,False,292
86,102,intra,,False,292
9,60,flip,other,False,287
102,86,intra,,False,286
